Date,Direction
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Outgoing
2020-04-14,Outgoing
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Outgoing
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Outgoing
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-14,Outgoing
2020-04-14,Incoming
2020-04-13,Incoming
2020-04-13,Outgoing
2020-04-13,Incoming
2020-04-13,Incoming
2020-04-13,Outgoing
2020-04-13,Incoming
2020-04-13,Outgoing
2020-04-13,Outgoing
2020-04-13,Incoming
2020-04-13,Incoming
2020-04-13,Outgoing
2020-04-13,Outgoing
2020-04-13,Incoming
2020-04-13,Incoming
2020-04-13,Outgoing
2020-04-13,Incoming
2020-04-13,Incoming
2020-04-13,Outgoing
2020-04-13,Incoming
2020-04-13,Outgoing
2020-04-13,Outgoing
2020-04-13,Incoming
2020-04-13,Incoming
2020-04-13,Outgoing
2020-04-13,Incoming
2020-04-13,Outgoing
2020-04-13,Incoming
2020-04-13,Incoming
2020-04-13,Outgoing
2020-04-13,Outgoing
2020-04-13,Outgoing
2020-04-13,Outgoing
2020-04-13,Incoming
2020-04-13,Outgoing
2020-04-13,Incoming
2020-04-13,Outgoing
2020-04-13,Outgoing
2020-04-13,Incoming
2020-04-13,Outgoing
2020-04-13,Incoming
2020-04-13,Incoming
2020-04-13,Incoming
2020-04-12,Outgoing
2020-04-12,Incoming
2020-04-12,Outgoing
2020-04-12,Incoming
2020-04-12,Incoming
2020-04-12,Outgoing
2020-04-12,Incoming
2020-04-12,Outgoing
2020-04-12,Outgoing
2020-04-12,Incoming
2020-04-12,Incoming
2020-04-12,Incoming
2020-04-12,Outgoing
2020-04-12,Outgoing
2020-04-12,Outgoing
2020-04-12,Outgoing
2020-04-12,Incoming
2020-04-12,Incoming
2020-04-12,Outgoing
2020-04-12,Incoming
2020-04-12,Incoming
2020-04-12,Outgoing
2020-04-12,Incoming
2020-04-12,Outgoing
2020-04-12,Incoming
2020-04-12,Incoming
2020-04-12,Outgoing
2020-04-12,Incoming
2020-04-12,Incoming
2020-04-12,Outgoing
2020-04-12,Incoming
2020-04-12,Outgoing
2020-04-12,Incoming
2020-04-12,Outgoing
2020-04-12,Incoming
2020-04-12,Outgoing
2020-04-12,Incoming
2020-04-12,Incoming
2020-04-12,Incoming
2020-04-12,Incoming
2020-04-12,Incoming
2020-04-12,Outgoing
2020-04-12,Incoming
2020-04-12,Incoming
2020-04-12,Outgoing
2020-04-12,Outgoing
2020-04-12,Incoming
2020-04-12,Outgoing
2020-04-11,Outgoing
2020-04-11,Incoming
2020-04-11,Outgoing
2020-04-11,Outgoing
2020-04-11,Incoming
2020-04-11,Outgoing
2020-04-11,Incoming
2020-04-11,Incoming
2020-04-11,Incoming
2020-04-11,Outgoing
2020-04-11,Outgoing
2020-04-11,Incoming
2020-04-11,Outgoing
2020-04-11,Incoming
2020-04-11,Outgoing
2020-04-11,Incoming
2020-04-11,Outgoing
2020-04-10,Incoming
2020-04-10,Outgoing
2020-04-10,Incoming
2020-04-10,Incoming
2020-04-10,Outgoing
2020-04-10,Outgoing
2020-04-10,Incoming
2020-04-10,Incoming
2020-04-10,Outgoing
2020-04-10,Incoming
2020-04-10,Incoming
2020-04-10,Incoming
2020-04-10,Outgoing
2020-04-10,Outgoing
2020-04-10,Outgoing
2020-04-10,Outgoing
2020-04-10,Outgoing
2020-04-10,Incoming
2020-04-10,Incoming
2020-04-10,Outgoing
2020-04-10,Incoming
2020-04-10,Outgoing
2020-04-10,Outgoing
2020-04-10,Outgoing
2020-04-10,Incoming
2020-04-10,Outgoing
2020-04-10,Outgoing
2020-04-10,Outgoing
2020-04-10,Incoming
2020-04-10,Incoming
2020-04-10,Incoming
2020-04-10,Incoming
2020-04-10,Outgoing
2020-04-10,Incoming
2020-04-10,Outgoing
2020-04-10,Outgoing
2020-04-10,Incoming
2020-04-10,Outgoing
2020-04-10,Incoming
2020-04-10,Outgoing
2020-04-10,Outgoing
2020-04-10,Incoming
2020-04-10,Outgoing
2020-04-10,Outgoing
2020-04-10,Outgoing
2020-04-10,Outgoing
2020-04-10,Incoming
2020-04-10,Incoming
2020-04-10,Outgoing
2020-04-10,Incoming
2020-04-10,Outgoing
2020-04-10,Outgoing
2020-04-10,Incoming
2020-04-10,Incoming
2020-04-10,Incoming
2020-04-10,Outgoing
2020-04-10,Incoming
2020-04-10,Incoming
2020-04-10,Incoming
2020-04-10,Outgoing
2020-04-10,Incoming
2020-04-10,Outgoing
2020-04-09,Incoming
2020-04-09,Incoming
2020-04-09,Incoming
2020-04-09,Incoming
2020-04-09,Outgoing
2020-04-09,Outgoing
2020-04-09,Incoming
2020-04-09,Incoming
2020-04-09,Outgoing
2020-04-09,Outgoing
2020-04-09,Incoming
2020-04-09,Outgoing
2020-04-09,Incoming
2020-04-09,Incoming
2020-04-09,Outgoing
2020-04-09,Outgoing
2020-04-09,Outgoing
2020-04-09,Incoming
2020-04-09,Incoming
2020-04-09,Outgoing
2020-04-09,Incoming
2020-04-09,Outgoing
2020-04-09,Incoming
2020-04-09,Incoming
2020-04-09,Incoming
2020-04-09,Outgoing
2020-04-09,Outgoing
2020-04-09,Outgoing
2020-04-09,Incoming
2020-04-09,Outgoing
2020-04-09,Incoming
2020-04-09,Incoming
2020-04-09,Incoming
2020-04-09,Outgoing
2020-04-09,Outgoing
2020-04-09,Outgoing
2020-04-09,Incoming
2020-04-09,Outgoing
2020-04-09,Incoming
2020-04-09,Incoming
2020-04-08,Incoming
2020-04-08,Outgoing
2020-04-08,Outgoing
2020-04-08,Incoming
2020-04-08,Incoming
2020-04-08,Outgoing
2020-04-08,Outgoing
2020-04-08,Incoming
2020-04-08,Outgoing
2020-04-08,Outgoing
2020-04-08,Outgoing
2020-04-08,Outgoing
2020-04-08,Outgoing
2020-04-08,Incoming
2020-04-08,Outgoing
2020-04-08,Incoming
2020-04-08,Incoming
2020-04-08,Incoming
2020-04-08,Outgoing
2020-04-08,Outgoing
2020-04-08,Outgoing
2020-04-08,Incoming
2020-04-07,Incoming
2020-04-07,Outgoing
2020-04-07,Outgoing
2020-04-07,Incoming
2020-04-07,Outgoing
2020-04-07,Incoming
2020-04-07,Outgoing
2020-04-07,Outgoing
2020-04-07,Incoming
2020-04-07,Outgoing
2020-04-07,Incoming
2020-04-07,Outgoing
2020-04-07,Incoming
2020-04-07,Outgoing
2020-04-07,Incoming
2020-04-07,Incoming
2020-04-07,Outgoing
2020-04-07,Incoming
2020-04-07,Outgoing
2020-04-07,Outgoing
2020-04-07,Outgoing
2020-04-07,Incoming
2020-04-07,Incoming
2020-04-07,Outgoing
